garment_id,image_path,current_label,caption,material_mentions,confidence,split,conflict_group
00003687-18,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00003687-18_2_side.jpg,Cotton,The female is wearing a sleeveless tank top with solid color patterns. The tank top is with cotton fabric. The neckline of the tank top is suspenders.,Cotton,HIGH,validation,Cotton vs Mixed Fabrics
00003687-18,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Tees_Tanks-id_00003687-18_4_full.jpg,Mixed Fabrics,The lady wears a sleeveless tank top with solid color patterns. The tank top is with cotton fabric. It has a suspenders neckline. The trousers the lad,Cotton,LOW,validation,Cotton vs Mixed Fabrics
00004183-01,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00004183-01_1_front.jpg,Cotton,"The upper clothing has long sleeves, cotton fabric and graphic patterns. The neckline of it is v-shape. There is an accessory on her wrist. There is a",Cotton,HIGH,test,Cotton vs Mixed Fabrics
00004183-01,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Blouses_Shirts-id_00004183-01_4_full.jpg,Mixed Fabrics,The lady wears a long-sleeve shirt with graphic patterns and long pants. The shirt is with cotton fabric and it has a v-shape neckline. The pants are ,Cotton,LOW,test,Cotton vs Mixed Fabrics
00005210-01,Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00005210-01_2_side.jpg,Denim,"The tank shirt this female wears has sleeves cut off, its fabric is denim, and it has pure color patterns. The tank shirt has a lapel neckline.",Denim,HIGH,train,Denim vs Mixed Fabrics
00005210-01,Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00005210-01_3_back.jpg,Denim,The lady wears a tank tank top with pure color patterns. The tank top is with denim fabric. It has a lapel neckline.,Denim,HIGH,train,Denim vs Mixed Fabrics
00005210-01,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Blouses_Shirts-id_00005210-01_7_additional.jpg,Mixed Fabrics,The female wears a sleeveless tank shirt with pure color patterns and a long trousers. The tank shirt is with denim fabric and its neckline is lapel. ,Denim,LOW,train,Denim vs Mixed Fabrics
00006240-01,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00006240-01_2_side.jpg,Cotton,"The upper clothing has short sleeves, cotton fabric and striped patterns. The neckline of it is round. This woman wears a ring.",Cotton,HIGH,train,Cotton vs Mixed Fabrics
00006240-01,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Tees_Tanks-id_00006240-01_4_full.jpg,Mixed Fabrics,This female is wearing a short-sleeve T-shirt with striped patterns and a short shorts. The T-shirt is with cotton fabric and its neckline is round. T,Cotton,LOW,train,Cotton vs Mixed Fabrics
00006655-02,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00006655-02_1_front.jpg,Cotton,The female is wearing a tank tank top with graphic patterns. The tank top is with cotton fabric and its neckline is suspenders. There is an accessory ,Cotton,HIGH,test,Cotton vs Mixed Fabrics
00006655-02,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Tees_Tanks-id_00006655-02_4_full.jpg,Mixed Fabrics,The tank top this person wears has no sleeves and its fabric is cotton. The pattern of it is graphic. It has a suspenders neckline. This person wears ,Cotton,LOW,test,Cotton vs Mixed Fabrics
00007612-02,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00007612-02_3_back.jpg,Cotton,The shirt this woman wears has long sleeves and its fabric is other. The pattern of it is other. The outer clothing this lady wears is with cotton fab,Cotton,HIGH,validation,Cotton vs Denim
00007612-02,Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00007612-02_4_full.jpg,Denim,"The upper clothing has medium sleeves, chiffon fabric and solid color patterns. The neckline of it is round. The lower clothing is of long length. The",,LOW,validation,Cotton vs Denim
