image_path,current_label,caption,material_mentions,confidence,garment_id,split,reason
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00000760-01_7_additional.jpg,Cotton,This woman is wearing a long-sleeve sweater with stripe patterns. The sweater is with knitting fabric. It has a crew neckline. This woman wears a long,,LOW,00000760-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00001626-01_1_front.jpg,Cotton,The lady is wearing a long-sleeve shirt with graphic patterns. The shirt is with knitting fabric. It has a stand neckline. The lady wears a three-poin,,LOW,00001626-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00003168-03_7_additional.jpg,Cotton,The lady is wearing a medium-sleeve shirt with graphic patterns. The shirt is with knitting fabric and its neckline is crew. The lady wears a three-po,,LOW,00003168-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00003733-02_3_back.jpg,Cotton,This lady wears a long-sleeve shirt with mixed patterns and a three-quarter trousers. The shirt is with other fabric. The trousers are with other fabr,,LOW,00003733-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00004655-01_7_additional.jpg,Cotton,"The upper clothing has long sleeves, knitting fabric and stripe patterns. It has a lapel neckline. The lower clothing is of three-point length. The fa",,LOW,00004655-01,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00006427-03_2_side.jpg,Cotton,"Her shirt has long sleeves, knitting fabric and other patterns. It has a v-shape neckline. This female wears a three-point shorts. The shorts are with",,LOW,00006427-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweatshirts_Hoodies-id_00001326-03_3_back.jpg,Cotton,This person wears a long-sleeve sweater with pure color patterns. The sweater is with knitting fabric. The pants this person wears is of three-point l,,LOW,00001326-03,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00000871-02_7_additional.jpg,Cotton,The lady wears a medium-sleeve shirt with pure color patterns. The shirt is with knitting fabric. It has a crew neckline. The pants the lady wears is ,,LOW,00000871-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\MEN-Shirts_Polos-id_00004917-01_2_side.jpg,Denim,The person wears a long-sleeve shirt with mixed patterns. The shirt is with mixed fabric. The neckline of the shirt is lapel. This guy also wears an o,,LOW,00004917-01,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000043-01_1_front.jpg,Denim,The female is wearing a tank tank shirt with graphic patterns. The tank shirt is with chiffon fabric and its neckline is crew. The pants the female we,,LOW,00000043-01,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000043-01_2_side.jpg,Denim,"The tank top this female wears has no sleeves and it is with chiffon fabric and solid color patterns. This female wears a three-point shorts, with den",,LOW,00000043-01,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000190-02_4_full.jpg,Denim,"The tank top the female wears has sleeves cut off, its fabric is chiffon, and it has graphic patterns. The tank top has a round neckline. The female w",,LOW,00000190-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000232-02_4_full.jpg,Denim,"Her T-shirt has short sleeves, chiffon fabric and graphic patterns. The neckline of it is crew. This female wears a long trousers. The trousers are wi",,LOW,00000232-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000402-02_4_full.jpg,Denim,The sweater this person wears has long sleeves and it is with chiffon fabric and graphic patterns. The neckline of the sweater is crew. This person we,,LOW,00000402-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000433-05_4_full.jpg,Denim,"Her tank shirt has sleeves cut off, chiffon fabric and pure color patterns. The neckline of it is suspenders. This female wears a long pants. The pant",,LOW,00000433-05,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000443-04_4_full.jpg,Denim,This person wears a tank tank shirt with floral patterns. The tank shirt is with chiffon fabric. It has a suspenders neckline. This person wears a lon,,LOW,00000443-04,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000510-02_2_side.jpg,Denim,"Her tank top has sleeves cut off, chiffon fabric and pure color patterns. It has a lapel neckline. This woman wears a three-point shorts. The shorts a",,LOW,00000510-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000510-02_4_full.jpg,Denim,"Her tank top has sleeves cut off, chiffon fabric and solid color patterns. The neckline of it is lapel. The lady wears a three-point shorts. The short",,LOW,00000510-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000556-03_4_full.jpg,Denim,The female is wearing a sleeveless tank top with graphic patterns and a long pants. The tank top is with chiffon fabric. The neckline of the tank top ,,LOW,00000556-03,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00000997-01_1_front.jpg,Denim,This female is wearing a medium-sleeve shirt with graphic patterns. The shirt is with chiffon fabric. It has a round neckline. The pants this female w,,LOW,00000997-01,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001196-03_4_full.jpg,Denim,The lady is wearing a tank tank top with graphic patterns and a three-point pants. The tank top is with chiffon fabric and its neckline is round. The ,,LOW,00001196-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001214-01_1_front.jpg,Denim,This person is wearing a long-sleeve shirt with other patterns and a long pants. The shirt is with other fabric. The neckline of the shirt is round. T,,LOW,00001214-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001217-03_4_full.jpg,Denim,The person wears a sleeveless tank top with graphic patterns. The tank top is with chiffon fabric. It has a suspenders neckline. The trousers the pers,,LOW,00001217-03,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001233-03_4_full.jpg,Denim,This woman is wearing a long-sleeve shirt with graphic patterns. The shirt is with chiffon fabric and its neckline is square. This woman wears a long ,,LOW,00001233-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001334-05_2_side.jpg,Denim,This female wears a tank tank top with solid color patterns and a three-point shorts. The tank top is with chiffon fabric and its neckline is suspende,,LOW,00001334-05,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001334-06_7_additional.jpg,Denim,This lady wears a tank tank shirt with solid color patterns. The tank shirt is with chiffon fabric. This lady wears a three-point shorts. The shorts a,,LOW,00001334-06,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001421-03_4_full.jpg,Denim,The person wears a sleeveless tank top with solid color patterns and long pants. The tank top is with chiffon fabric and it has a suspenders neckline.,,LOW,00001421-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001446-05_1_front.jpg,Denim,The person is wearing a tank tank top with solid color patterns. The tank top is with chiffon fabric. It has a suspenders neckline. The person wears a,,LOW,00001446-05,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001446-06_4_full.jpg,Denim,The lady is wearing a sleeveless tank top with pure color patterns and a three-point pants. The tank top is with chiffon fabric and its neckline is su,,LOW,00001446-06,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001446-07_1_front.jpg,Denim,This woman wears a sleeveless tank top with solid color patterns and a three-point shorts. The tank top is with chiffon fabric. The neckline of the ta,,LOW,00001446-07,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001446-07_7_additional.jpg,Denim,This lady is wearing a sleeveless tank top with pure color patterns and a three-point pants. The tank top is with chiffon fabric. The pants are with d,,LOW,00001446-07,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001446-08_4_full.jpg,Denim,The tank top this female wears has no sleeves and its fabric is chiffon. The pattern of it is solid color. It has a suspenders neckline. This female w,,LOW,00001446-08,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001529-01_7_additional.jpg,Denim,"The tank shirt this lady wears has sleeves cut off and its fabric is chiffon. The pattern of it is pure color. This lady wears a three-point pants, wi",,LOW,00001529-01,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001760-02_3_back.jpg,Denim,"The tank shirt the female wears has no sleeves and its fabric is mixed. The pattern of it is pure color. The female wears a three-point shorts, with d",,LOW,00001760-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001790-01_4_full.jpg,Denim,This woman wears a sleeveless tank shirt with graphic patterns. The tank shirt is with chiffon fabric. It has a suspenders neckline. This woman wears ,,LOW,00001790-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001790-02_2_side.jpg,Denim,This woman wears a tank tank top with graphic patterns. The tank top is with chiffon fabric. It has a suspenders neckline. The pants this woman wears ,,LOW,00001790-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001846-01_1_front.jpg,Denim,This female wears a tank tank top with graphic patterns and a long pants. The tank top is with chiffon fabric and its neckline is crew. The pants are ,,LOW,00001846-01,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001860-02_4_full.jpg,Denim,The person is wearing a short-sleeve T-shirt with pure color patterns. The T-shirt is with chiffon fabric and its neckline is v-shape. The pants the p,,LOW,00001860-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00001874-04_7_additional.jpg,Denim,The female wears a short-sleeve T-shirt with graphic patterns. The T-shirt is with chiffon fabric. It has a suspenders neckline. The pants the female ,,LOW,00001874-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002140-02_2_side.jpg,Denim,This woman is wearing a long-sleeve sweater with striped patterns and a three-point shorts. The sweater is with chiffon fabric. The shorts are with de,,LOW,00002140-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002140-02_3_back.jpg,Denim,The female is wearing a long-sleeve sweater with stripe patterns. The sweater is with chiffon fabric. The shorts the female wears is of three-point le,,LOW,00002140-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002218-01_7_additional.jpg,Denim,The shirt this lady wears has long sleeves and it is with chiffon fabric and solid color patterns. The neckline of the shirt is v-shape. This lady wea,,LOW,00002218-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002351-02_2_side.jpg,Denim,"The upper clothing has no sleeves, chiffon fabric and graphic patterns. The neckline of it is suspenders. The lower clothing is of three-point length.",,LOW,00002351-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002351-02_7_additional.jpg,Denim,This woman is wearing a sleeveless tank shirt with graphic patterns. The tank shirt is with chiffon fabric. The shorts this woman wears is of three-po,,LOW,00002351-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002436-02_4_full.jpg,Denim,"Her shirt has medium sleeves, chiffon fabric and floral patterns. It has a square neckline. The pants the female wears is of long length. The pants ar",,LOW,00002436-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002546-02_1_front.jpg,Denim,This female wears a tank tank shirt with graphic patterns and a three-point pants. The tank shirt is with chiffon fabric. The neckline of the tank shi,,LOW,00002546-02,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002546-02_4_full.jpg,Denim,This person is wearing a tank tank shirt with graphic patterns. The tank shirt is with chiffon fabric and its neckline is v-shape. This person wears a,,LOW,00002546-02,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002616-06_1_front.jpg,Denim,This female is wearing a tank tank top with floral patterns. The tank top is with chiffon fabric. It has a suspenders neckline. The pants this female ,,LOW,00002616-06,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002649-01_2_side.jpg,Denim,This lady is wearing a long-sleeve shirt with pure color patterns. The shirt is with chiffon fabric. It has a lapel neckline. This lady wears a three-,,LOW,00002649-01,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002703-04_1_front.jpg,Denim,"The tank shirt this person wears has no sleeves, its fabric is chiffon, and it has solid color patterns. The tank shirt has a round neckline. This per",,LOW,00002703-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002704-05_4_full.jpg,Denim,This person is wearing a sleeveless tank shirt with graphic patterns. The tank shirt is with chiffon fabric and its neckline is crew. The pants this p,,LOW,00002704-05,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002771-02_4_full.jpg,Denim,This lady is wearing a short-sleeve T-shirt with graphic patterns and a long trousers. The T-shirt is with chiffon fabric and its neckline is round. T,,LOW,00002771-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002772-01_4_full.jpg,Denim,This woman wears a sleeveless tank shirt with graphic patterns. The tank shirt is with chiffon fabric. It has a round neckline. This woman wears a thr,,LOW,00002772-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002772-01_7_additional.jpg,Denim,"The tank shirt this female wears has sleeves cut off, its fabric is chiffon, and it has graphic patterns. The tank shirt has a crew neckline. This fem",,LOW,00002772-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002900-01_4_full.jpg,Denim,"The upper clothing has no sleeves, chiffon fabric and solid color patterns. The neckline of it is lapel. The lower clothing is of long length. The fab",,LOW,00002900-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002959-02_1_front.jpg,Denim,"The upper clothing has sleeves cut off, chiffon fabric and graphic patterns. It has a suspenders neckline. The lower clothing is of three-point length",,LOW,00002959-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00002972-01_4_full.jpg,Denim,The tank top this lady wears has no sleeves and it is with knitting fabric and graphic patterns. The neckline of the tank top is crew. This lady wears,,LOW,00002972-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003230-02_3_back.jpg,Denim,This woman wears a long-sleeve shirt with graphic patterns. The shirt is with chiffon fabric. The shorts this woman wears is of three-point length. Th,,LOW,00003230-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003298-04_1_front.jpg,Denim,The lady is wearing a sleeveless tank top with solid color patterns and a three-point pants. The tank top is with chiffon fabric and its neckline is c,,LOW,00003298-04,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003364-03_2_side.jpg,Denim,"Her tank shirt has no sleeves, chiffon fabric and floral patterns. It has a suspenders neckline. The person wears a three-point pants. The pants are w",,LOW,00003364-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003814-05_4_full.jpg,Denim,This woman is wearing a sleeveless tank shirt with pure color patterns. The tank shirt is with chiffon fabric. It has a crew neckline. This woman wear,,LOW,00003814-05,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003820-02_1_front.jpg,Denim,This woman is wearing a long-sleeve shirt with graphic patterns. The shirt is with chiffon fabric and its neckline is v-shape. This woman wears a thre,,LOW,00003820-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003820-02_4_full.jpg,Denim,This woman is wearing a long-sleeve sweater with graphic patterns. The sweater is with chiffon fabric. It has a v-shape neckline. This woman wears a t,,LOW,00003820-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003822-03_1_front.jpg,Denim,The female is wearing a tank tank shirt with solid color patterns. The tank shirt is with chiffon fabric. It has a round neckline. The pants the femal,,LOW,00003822-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003822-04_1_front.jpg,Denim,The female is wearing a sleeveless tank shirt with solid color patterns. The tank shirt is with chiffon fabric. It has a round neckline. The female we,,LOW,00003822-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003900-05_4_full.jpg,Denim,This person is wearing a tank tank top with graphic patterns and a long pants. The tank top is with chiffon fabric and its neckline is suspenders. The,,LOW,00003900-05,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003927-06_4_full.jpg,Denim,"Her shirt has long sleeves, chiffon fabric and solid color patterns. It has a lapel neckline. This female wears a long trousers. The trousers are with",,LOW,00003927-06,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003927-07_4_full.jpg,Denim,The female is wearing a long-sleeve shirt with pure color patterns. The shirt is with chiffon fabric. It has a lapel neckline. The female wears a long,,LOW,00003927-07,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004157-01_7_additional.jpg,Denim,This lady is wearing a tank tank shirt with pure color patterns. The tank shirt is with chiffon fabric and its neckline is crew. The pants this lady w,,LOW,00004157-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004224-02_4_full.jpg,Denim,"Her tank top has no sleeves, chiffon fabric and graphic patterns. The neckline of it is round. The lady wears a long trousers. The trousers are with d",,LOW,00004224-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004274-04_4_full.jpg,Denim,This woman is wearing a tank tank shirt with graphic patterns and a long trousers. The tank shirt is with chiffon fabric and its neckline is suspender,,LOW,00004274-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004277-03_1_front.jpg,Denim,"Her shirt has medium sleeves, chiffon fabric and graphic patterns. The neckline of it is square. The female wears a three-point shorts. The shorts are",,LOW,00004277-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004277-03_2_side.jpg,Denim,"Her shirt has medium sleeves, chiffon fabric and graphic patterns. The neckline of it is square. The shorts this person wears is of three-point length",,LOW,00004277-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004356-03_4_full.jpg,Denim,The shirt the person wears has medium sleeves and it is with chiffon fabric and graphic patterns. The neckline of the shirt is crew. The person wears ,,LOW,00004356-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004425-01_1_front.jpg,Denim,This person is wearing a sleeveless tank top with graphic patterns and a three-point shorts. The tank top is with chiffon fabric. The neckline of the ,,LOW,00004425-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004425-01_4_full.jpg,Denim,This woman is wearing a tank tank top with graphic patterns and a three-point pants. The tank top is with chiffon fabric and its neckline is crew. The,,LOW,00004425-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004433-01_2_side.jpg,Denim,This woman wears a tank tank top with graphic patterns. The tank top is with knitting fabric. It has a suspenders neckline. This woman wears a three-p,,LOW,00004433-01,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004433-02_1_front.jpg,Denim,"The tank shirt this woman wears has no sleeves, its fabric is knitting, and it has graphic patterns. The tank shirt has a suspenders neckline. This wo",,LOW,00004433-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004433-02_4_full.jpg,Denim,"Her tank top has no sleeves, knitting fabric and graphic patterns. It has a suspenders neckline. This lady wears a three-point pants. The pants are wi",,LOW,00004433-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004433-02_7_additional.jpg,Denim,"The tank shirt this person wears has no sleeves, its fabric is knitting, and it has graphic patterns. This person wears a three-point pants, with deni",,LOW,00004433-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004479-02_2_side.jpg,Denim,"Her T-shirt has short sleeves, other fabric and other patterns. It has a crew neckline. The pants the person wears is of long length. The pants are wi",,LOW,00004479-02,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004491-07_1_front.jpg,Denim,The person wears a sleeveless tank top with solid color patterns and a three-point shorts. The tank top is with chiffon fabric and its neckline is sus,,LOW,00004491-07,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004491-08_3_back.jpg,Denim,This woman is wearing a sleeveless tank shirt with solid color patterns. The tank shirt is with chiffon fabric. The shorts this woman wears is of thre,,LOW,00004491-08,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004491-08_7_additional.jpg,Denim,"Her tank top has sleeves cut off, chiffon fabric and solid color patterns. The neckline of it is suspenders. The female wears a three-point pants. The",,LOW,00004491-08,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004617-03_4_full.jpg,Denim,The shirt the lady wears has short sleeves and its fabric is chiffon. The pattern of it is solid color. It has a round neckline. The lady wears a long,,LOW,00004617-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004617-04_4_full.jpg,Denim,"The T-shirt the lady wears has short sleeves, its fabric is chiffon, and it has pure color patterns. The T-shirt has a round neckline. The lady wears ",,LOW,00004617-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004687-04_4_full.jpg,Denim,This lady is wearing a sleeveless tank top with graphic patterns and a long trousers. The tank top is with chiffon fabric. The neckline of the tank to,,LOW,00004687-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00004693-03_1_front.jpg,Denim,"Her shirt has short sleeves, chiffon fabric and solid color patterns. The neckline of it is v-shape. The person wears a three-point shorts. The shorts",,LOW,00004693-03,train,caption does not support assigned label
